"province","district","city","udara_price","udara_days","land_price","land_min","land_days"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Barat","Meulaboh","60500","2","12750","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Barat Daya","BlangPidie","60500","3","12000","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Besar","Jantho","60200","3","12000","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Jaya","Krueng Sabee","61500","2","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Selatan","Tapak Tuan","61500","2","13500","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Singkil","Singkil","61500","4","15000","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Tamlang","Kuala Simpang","60500","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Tengah","Takengon","60800","2","12000","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Tenggara","Kutacane","60800","4","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Timur","Idi Rayeuk","61500","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Aceh Utara","Lhoksukon","61500","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Bener Meriah","Simpang Tiga Radelon","60400","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Bireuen","Kab Bireuen","61500","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Gayo Lues","Blang Kejeren","60500","2","15000","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Nagan Raya","Suka Makmue","57148","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Pidie","Sigli","56448","3","12750","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Pidie Jaya","Meuredeu","56448","3","14250","50","9"
"NANGRO ACEH DARUSSALAM","Kab. Simeuleu","Sinabang","64848","4","17000","50","9"
"NANGRO ACEH DARUSSALAM","Kota Banda Aceh","Banda Aceh","52082","4","10000","50","8"
"NANGRO ACEH DARUSSALAM","Kota Langsa","Langsa","57148","3","14250","50","8"
"NANGRO ACEH DARUSSALAM","Kota Lhokseumawe","Lhokseumawe","56448","3","14250","50","8"
"NANGRO ACEH DARUSSALAM","Kota Sabang","Sabang","57848","2","14250","50","8"
"NANGRO ACEH DARUSSALAM","Kota Subulussalam","Subulissalam","59248","4","15000","50","9"
"SUMATRA UTARA","Kab. Asahan","Kisaran","50850","2","11300","50","9"
"SUMATRA UTARA","Kab. Batubara","Umapuluh","51400","3","12750","50","9"
"SUMATRA UTARA","Kab. Dairi","Sidikalang","59255","4","14250","50","9"
"SUMATRA UTARA","Kab. Deli Serdang","Lubuk Pakam","49800","4","11250","50","9"
"SUMATRA UTARA","Kab. Humbang Hasudutan","Dolok Sanggul","53300","2","12800","50","9"
"SUMATRA UTARA","Kab. Karo","Kabanjahe","59255","3","14100","50","9"
"SUMATRA UTARA","Kab. Labuhan Batu","Rantau Prapat","51550","3","11800","50","9"
"SUMATRA UTARA","Kab. Langkat","Stabat","50300","3","12000","50","9"
"SUMATRA UTARA","Kab. Mandailing Natal","Panyabungan","54400","4","12300","50","9"
"SUMATRA UTARA","Kab. Nias","Guning Sitoli","59255","4","14300","50","9"
"SUMATRA UTARA","Kab. Nias Selatan","Teluk Dalam","59255","4","14800","50","9"
"SUMATRA UTARA","Kab. Padang Lawas","Sibuhuan","52600","3","13100","50","9"
"SUMATRA UTARA","Kab. Padang Lawas Utara","Gunung Tua","52255","3","12850","50","9"
"SUMATRA UTARA","Kab. Pakpak bharat","Salak","54250","2","12400","50","9"
"SUMATRA UTARA","Kab. Samosir","Pangururan","53600","2","12600","50","9"
"SUMATRA UTARA","Kab. Serdang Bedagai","Sei Rampah","51450","2","12000","50","9"
"SUMATRA UTARA","Kab. Simalungun","Pematang Siantar","51500","2","11300","50","9"
"SUMATRA UTARA","Kab. Tapanuli Selatan","Padang Sidempuan","51550","2","12800","50","9"
"SUMATRA UTARA","Kab. Tapanuli Tengah","Sibolga","52200","2","12700","50","9"
"SUMATRA UTARA","Kab. Tapanuli Utara","Tarutung","52255","4","12750","50","9"
"SUMATRA UTARA","Kab. Toba Samosir","Balige","52255","3","11100","50","9"
"SUMATRA UTARA","Kota Binjai","Binjai","50950","2","11250","50","9"
"SUMATRA UTARA","Kota Medan","Medan","48850","2","8500","50","7"
"SUMATRA UTARA","Kota Padang Sidempuan","Padang Sidempuan","51300","4","10800","50","8"
"SUMATRA UTARA","Kota Pematang Siantar","Pematang Siantar","50450","2","10900","50","8"
"SUMATRA UTARA","Kota Sibolga","Sibolga","52500","2","10600","50","8"
"SUMATRA UTARA","Kota Tanjung Balai","Tanjung Balai","50450","2","11000","50","8"
"SUMATRA UTARA","Kota Tebing Tinggi","Tebing Tinggi","50500","2","10100","50","8"
"BENGKULU","Kab. Bengkulu Selatan","Manna","41550","3","9750","50","8"
"BENGKULU","Kab. Bengkulu Utara","Arga Makmur","41350","3","9000","50","8"
"BENGKULU","Kab. Kaur","Kaur","42000","3","10500","50","8"
"BENGKULU","Kab. Kepahiang","Kepahiang","40700","3","90000","50","8"
"BENGKULU","Kab. Lebong","kab. Lebong","41800","3","10500","50","8"
"BENGKULU","Kab. Muko-Muko","Muko-muko","41600","3","10500","50","8"
"BENGKULU","Kab. Rejang Lebong","Curup","41050","3","10500","50","8"
"BENGKULU","Kab. Seluma","Tais","40700","3","9000","50","8"
"BENGKULU","Kota. Bengkulu","Bengkulu","40600","2","7500","50","6"
"JAMBI","Kab. Batang hari","Muara Bulian","42300","3","11500","50","7"
"JAMBI","Kab. Bungo","Muara Bungo","42500","3","11300","50","7"
"JAMBI","Kab. Kerinci","Sungai Penuh","44800","3","10800","50","7"
"JAMBI","Kab. Merangin","Bangko","42850","3","11800","50","7"
"JAMBI","Kab. Muaro Jambi","Sengeti","42200","3","12200","50","7"
"JAMBI","Kab. Sarolangun","Sarolangun","42400","3","11000","50","7"
"JAMBI","Kab. Tanjung Jabung Timur","Muarasabak","42450","3","12000","50","7"
"JAMBI","Kab. Tanjung Jabung Barat","Kualatungkai","42750","3","11700","50","7"
"JAMBI","Kab. Tebo","Muara Tebo","41950","3","11300","50","7"
"JAMBI","Kota Jambi","Jambi","40400","2","7000","50","5"
"PEKANBARU","Kab. Bengkalis","Bengkalis","48915","3","14300","50","8"
"PEKANBARU","Kab. Indragiri Hilir","Tembilahan","46395","3","12400","50","8"
"PEKANBARU","Kab. Indragiri Hulu","Rengat","46395","3","11800","50","8"
"PEKANBARU","Kab. Kampar","Bangkinang","44295","3","12100","50","8"
"PEKANBARU","Kab. Kuantan Singingi","Teluk Kuantan","47795","3","13200","50","8"
"PEKANBARU","Kab. Palalawan","Pangkalan Kerinci","44295","3","12800","50","8"
"PEKANBARU","Kab. Rokan Hulu","Pasir Pangaraian","46395","3","12300","50","8"
"PEKANBARU","Kab. Rokan Hilir","Bagan Siapi api","47095","3","12500","50","8"
"PEKANBARU","Kab.Siak","Siaks Indrapura","46395","3","12900","50","8"
"PEKANBARU","Kota Dumai","Dumai","44295","3","12300","50","8"
"PEKANBARU","Kota Pekanbaru","Pekanbaru","41000","2","7500","50","5"
"SUMATRA BARAT","Kab. Agam","Lubuk Basung","55250","3","12900","50","8"
"SUMATRA BARAT","Kab. Dharmasraya","Pualu Punjung","55800","3","14000","50","8"
"SUMATRA BARAT","Kab. Limapuluh kota","Sarilamek","54950","3","13700","50","8"
"SUMATRA BARAT","Kab. Kepulauan Mentawai","Tuapejat","60200","3","15800","50","8"
"SUMATRA BARAT","Kab. Padang Pariaman","Pariaman","54650","3","13600","50","8"
"SUMATRA BARAT","Kab. Pasaman","Lubuk Sikaping","55600","3","13600","50","8"
"SUMATRA BARAT","Kab. Pasaman Barat","Simpang Empat","55450","3","13300","50","8"
"SUMATRA BARAT","Kab. Pesisir Selatan","Painan","53750","3","12000","50","8"
"SUMATRA BARAT","Kab. Sijunjung","Muara","54850","3","14100","50","8"
"SUMATRA BARAT","Kab. Solok","Arosuka","54600","3","14000","50","8"
"SUMATRA BARAT","Kab. Solok Selatan","Padang Aro","55500","3","13800","50","8"
"SUMATRA BARAT","Kab. Tanah Datar","Batu Sangkar","54150","3","13500","50","8"
"SUMATRA BARAT","Kota Bukittinggi","Bukittinggi","54050","2","11000","50","6"
"SUMATRA BARAT","Kota Padang","Padang","52350","2","9000","50","6"
"SUMATRA BARAT","Kota Padang Panjang","Padang Panjang","53200","2","10000","50","8"
"SUMATRA BARAT","Kota Pariaman","Pariaman","53350","3","10000","50","8"
"SUMATRA BARAT","Kota Payakumbuh","Payakumbuh","54200","3","13300","50","7"
